tag,scalar_value,global_step
Loss,0.0078125,0
Epsilon,0.1,0
Reward,12.0,0
Mean Reward,12.0,0
Loss,0.0078125,1
Epsilon,0.1,1
Reward,14.0,1
Mean Reward,13.0,1
Loss,0.0078125,2
Epsilon,0.1,2
Reward,9.0,2
Mean Reward,11.666666666666666,2
Loss,0.0078125,3
Epsilon,0.1,3
Reward,10.0,3
Mean Reward,11.25,3
Loss,0.0078125,4
Epsilon,0.1,4
Reward,9.0,4
Mean Reward,10.8,4
Loss,0.0078125,5
Epsilon,0.1,5
Reward,10.0,5
Mean Reward,10.666666666666666,5
Loss,0.0078125,6
Epsilon,0.1,6
Reward,10.0,6
Mean Reward,10.571428571428571,6
Loss,0.0078125,7
Epsilon,0.1,7
Reward,13.0,7
Mean Reward,10.875,7
Loss,0.0078125,8
Epsilon,0.1,8
Reward,9.0,8
Mean Reward,10.666666666666666,8
Loss,0.0078125,9
Epsilon,0.1,9
Reward,9.0,9
Mean Reward,10.5,9
Loss,0.0078125,10
Epsilon,0.1,10
Reward,11.0,10
Mean Reward,10.545454545454545,10
Loss,0.0078125,11
Epsilon,0.1,11
Reward,9.0,11
Mean Reward,10.416666666666666,11
Loss,0.007901107995874353,12
Epsilon,0.1,12
Reward,9.0,12
Mean Reward,10.307692307692308,12
Loss,0.00793671077117324,13
Epsilon,0.1,13
Reward,10.0,13
Mean Reward,10.285714285714286,13
Loss,0.00795883633610275,14
Epsilon,0.1,14
Reward,9.0,14
Mean Reward,10.2,14
Loss,0.007954530417919159,15
Epsilon,0.1,15
Reward,12.0,15
Mean Reward,10.3125,15
Loss,0.008058083825744689,16
Epsilon,0.1,16
Reward,8.0,16
Mean Reward,10.176470588235293,16
Loss,0.008073929604142905,17
Epsilon,0.1,17
Reward,10.0,17
Mean Reward,10.166666666666666,17
Loss,0.008163476921617984,18
Epsilon,0.1,18
Reward,10.0,18
Mean Reward,10.157894736842104,18
Loss,0.008419436487284574,19
Epsilon,0.1,19
Reward,11.0,19
Mean Reward,10.2,19
Loss,0.008614445757120847,20
Epsilon,0.1,20
Reward,10.0,20
Mean Reward,10.19047619047619,20
Loss,0.008769754216902785,21
Epsilon,0.1,21
Reward,9.0,21
Mean Reward,10.136363636363637,21
Loss,0.009123117569833994,22
Epsilon,0.1,22
Reward,10.0,22
Mean Reward,10.130434782608695,22
Loss,0.009447338338941336,23
Epsilon,0.1,23
Reward,10.0,23
Mean Reward,10.125,23
Loss,0.009771077800542117,24
Epsilon,0.1,24
Reward,10.0,24
Mean Reward,10.12,24
Loss,0.010078256018459797,25
Epsilon,0.1,25
Reward,9.0,25
Mean Reward,10.076923076923077,25
Loss,0.010403335301412476,26
Epsilon,0.1,26
Reward,9.0,26
Mean Reward,10.037037037037036,26
Loss,0.011061283552812206,27
Epsilon,0.1,27
Reward,9.0,27
Mean Reward,10.0,27
Loss,0.01173500701164206,28
Epsilon,0.1,28
Reward,12.0,28
Mean Reward,10.068965517241379,28
Loss,0.012538504553958774,29
Epsilon,0.1,29
Reward,12.0,29
Mean Reward,10.133333333333333,29
Loss,0.013423007214441895,30
Epsilon,0.1,30
Reward,8.0,30
Mean Reward,10.064516129032258,30
Loss,0.01423315465864208,31
Epsilon,0.1,31
Reward,9.0,31
Mean Reward,10.03125,31
Loss,0.015510113071650266,32
Epsilon,0.1,32
Reward,10.0,32
Mean Reward,10.030303030303031,32
Loss,0.01661415323615074,33
Epsilon,0.1,33
Reward,10.0,33
Mean Reward,10.029411764705882,33
Loss,0.017689395902885333,34
Epsilon,0.1,34
Reward,9.0,34
Mean Reward,10.0,34
Loss,0.018594732321798802,35
Epsilon,0.1,35
Reward,10.0,35
Mean Reward,10.0,35
Loss,0.019134572114456783,36
Epsilon,0.1,36
Reward,11.0,36
Mean Reward,10.027027027027026,36
Loss,0.020637569535109732,37
Epsilon,0.1,37
Reward,9.0,37
Mean Reward,10.0,37
Loss,0.023639435507357122,38
Epsilon,0.1,38
Reward,10.0,38
Mean Reward,10.0,38
Loss,0.023405565776758723,39
Epsilon,0.1,39
Reward,9.0,39
Mean Reward,9.975,39
Loss,0.025381752103567124,40
Epsilon,0.1,40
Reward,10.0,40
Mean Reward,9.975609756097562,40
Loss,0.027014315873384476,41
Epsilon,0.1,41
Reward,10.0,41
Mean Reward,9.976190476190476,41
Loss,0.027580710500478743,42
Epsilon,0.1,42
Reward,10.0,42
Mean Reward,9.976744186046512,42
Loss,0.02797585456735558,43
Epsilon,0.1,43
Reward,9.0,43
Mean Reward,9.954545454545455,43
Loss,0.030148962512612343,44
Epsilon,0.1,44
Reward,9.0,44
Mean Reward,9.933333333333334,44
Loss,0.029114671051502228,45
Epsilon,0.1,45
Reward,9.0,45
Mean Reward,9.91304347826087,45
Loss,0.03406318631023168,46
Epsilon,0.1,46
Reward,10.0,46
Mean Reward,9.914893617021276,46
Loss,0.03722027726471424,47
Epsilon,0.1,47
Reward,10.0,47
Mean Reward,9.916666666666666,47
Loss,0.03551060367714275,48
Epsilon,0.1,48
Reward,11.0,48
Mean Reward,9.938775510204081,48
Loss,0.03655437007546425,49
Epsilon,0.1,49
Reward,10.0,49
Mean Reward,9.94,49
Loss,0.037255268543958664,50
Epsilon,0.1,50
Reward,11.0,50
Mean Reward,9.96078431372549,50
Loss,0.0371855352487829,51
Epsilon,0.1,51
Reward,9.0,51
